"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Demanda No Aturats",413
2021,1,10,"Sant Martí",68,"el Poblenou","Homes","Demanda No Aturats",1425
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Demanda No Aturats",639
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Demanda No Aturats",1462
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Demanda No Aturats",1009
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Demanda No Aturats",1398
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Demanda No Aturats",1579
2021,1,99,"No consta",99,"No consta","Homes","Demanda No Aturats",244
2021,2,1,"Ciutat Vella",1,"el Raval","Dones","Atur Registrat",2193
2021,2,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Atur Registrat",690
2021,2,1,"Ciutat Vella",3,"la Barceloneta","Dones","Atur Registrat",735
2021,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Atur Registrat",1013
2021,2,2,"Eixample",5,"el Fort Pienc","Dones","Atur Registrat",903
2021,2,2,"Eixample",6,"la Sagrada Família","Dones","Atur Registrat",1427
2021,2,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Atur Registrat",1007
2021,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Atur Registrat",1053
